date,open,high,low,close,volume
2015-08-17,2694.0,2694.0,2655.45,2684.75,83512.0
2015-08-18,2700.0,2746.0,2694.2,2734.6,103260.0
2015-08-19,2750.0,2750.95,2718.05,2731.4,62588.0
2015-08-20,2732.0,2732.0,2675.25,2691.2,66368.0
2015-08-21,2690.3,2727.8,2657.0,2675.1,108304.0
2015-08-24,2675.0,2675.0,2570.0,2579.2,167770.0
2015-08-25,2585.0,2618.1,2536.1,2567.35,155944.0
2015-08-26,2565.45,2638.95,2514.9,2576.75,108616.0
2015-08-27,2615.2,2615.2,2547.0,2577.6,63812.0
2015-08-28,2599.0,2604.9,2560.0,2570.65,80804.0
2015-08-31,2583.85,2588.45,2533.0,2565.25,85438.0
2015-09-01,2567.0,2610.0,2531.0,2538.8,98388.0
2015-09-02,2560.0,2619.0,2546.6,2593.2,106866.0
2015-09-03,2614.0,2614.0,2577.0,2605.25,57044.0
2015-09-04,2625.0,2625.0,2542.45,2549.45,90636.0
2015-09-07,2552.0,2559.5,2535.0,2539.5,46044.0
2015-09-08,2543.0,2563.7,2523.05,2542.1,512514.0
2015-09-09,2560.0,2575.0,2546.65,2550.65,62014.0
2015-09-10,2540.0,2576.0,2527.05,2542.35,110606.0
2015-09-11,2549.9,2568.0,2535.2,2545.5,81920.0
2015-09-14,2555.0,2564.7,2545.15,2550.75,34628.0
2015-09-15,2550.75,2558.0,2536.0,2543.15,68234.0
2015-09-16,2548.0,2563.95,2543.5,2551.15,41600.0
2015-09-18,2560.0,2585.0,2547.8,2554.15,94854.0
2015-09-21,2550.0,2554.15,2534.15,2550.7,54602.0
2015-09-22,2554.15,2575.0,2493.9,2526.35,89186.0
2015-09-23,2527.0,2557.3,2515.0,2534.05,74106.0
2015-09-24,2534.0,2583.95,2531.9,2575.6,133316.0
2015-09-28,2580.0,2618.95,2580.0,2590.35,55330.0
2015-09-29,2572.0,2632.0,2570.0,2590.2,74704.0
2015-09-30,2630.0,2641.8,2571.55,2587.7,90546.0
2015-10-01,2600.0,2645.0,2590.6,2639.7,110352.0
2015-10-05,2650.0,2769.0,2650.0,2713.45,215412.0
2015-10-06,2725.0,2725.4,2680.2,2695.7,133480.0
2015-10-07,2695.7,2716.45,2647.1,2655.1,131440.0
2015-10-08,2665.05,2678.0,2620.5,2634.75,96736.0
2015-10-09,2678.0,2678.0,2610.0,2629.85,118000.0
2015-10-12,2667.0,2670.0,2585.3,2592.4,191846.0
2015-10-13,2605.0,2612.45,2568.05,2597.4,243962.0
2015-10-14,2550.0,2550.0,2480.0,2483.4,723396.0
2015-10-15,2490.0,2505.0,2465.0,2468.65,843970.0
2015-10-16,2490.0,2492.0,2470.0,2475.95,113920.0
2015-10-19,2478.0,2493.0,2458.0,2486.85,157074.0
2015-10-20,2493.0,2529.8,2492.5,2526.7,123862.0
2015-10-21,2526.75,2542.2,2518.7,2525.5,123038.0
2015-10-23,2535.0,2542.0,2527.05,2536.2,75840.0
2015-10-26,2545.0,2548.0,2517.0,2535.2,84658.0
2015-10-27,2535.2,2543.95,2521.45,2529.8,63014.0
2015-10-28,2526.0,2530.0,2507.6,2524.65,73428.0
2015-10-29,2530.0,2530.0,2493.0,2496.15,179668.0
2015-10-30,2501.0,2511.0,2485.0,2497.3,87304.0
2015-11-02,2497.0,2516.9,2488.05,2511.2,76464.0
2015-11-03,2520.0,2545.55,2518.55,2542.6,70980.0
2015-11-04,2551.0,2551.0,2520.2,2529.45,58756.0
2015-11-05,2538.95,2539.0,2485.15,2490.75,252790.0
2015-11-06,2488.0,2515.6,2483.0,2505.75,46934.0
2015-11-09,2484.0,2500.6,2468.95,2475.05,242028.0
2015-11-10,2476.0,2478.0,2451.5,2461.7,199900.0
2015-11-13,2465.0,2465.0,2387.7,2397.3,210762.0
2015-11-16,2400.0,2400.0,2355.0,2374.9,142860.0
2015-11-17,2381.0,2398.45,2375.75,2390.5,108060.0
2015-11-18,2390.55,2390.55,2346.95,2351.9,193076.0
2015-11-19,2370.0,2381.25,2352.05,2363.2,316556.0
2015-11-20,2364.1,2422.0,2364.0,2395.55,101632.0
2015-11-23,2413.9,2413.9,2384.15,2391.7,62248.0
2015-11-24,2388.0,2391.9,2365.0,2370.1,55752.0
2015-11-26,2372.0,2381.8,2338.0,2345.15,89382.0
2015-11-27,2346.0,2357.9,2333.0,2352.65,129668.0
2015-11-30,2360.0,2381.3,2352.0,2365.25,89252.0
2015-12-01,2365.0,2378.4,2357.2,2362.15,89434.0
2015-12-02,2367.0,2370.95,2349.0,2365.25,82846.0
2015-12-03,2366.0,2372.55,2347.5,2350.85,136578.0
2015-12-04,2339.8,2340.0,2322.0,2330.15,164818.0
2015-12-07,2331.0,2345.0,2316.65,2324.1,162092.0
2015-12-08,2323.0,2348.5,2318.0,2329.5,212822.0
2015-12-09,2330.0,2371.0,2320.55,2365.7,172142.0
2015-12-10,2370.0,2392.4,2353.5,2380.75,108516.0
2015-12-11,2395.0,2395.0,2363.05,2387.25,107072.0
2015-12-14,2344.9,2384.45,2335.0,2377.45,269902.0
2015-12-15,2380.0,2384.9,2365.7,2375.2,53926.0
2015-12-16,2397.95,2414.55,2385.7,2407.1,252840.0
2015-12-17,2420.0,2445.75,2395.2,2440.35,137124.0
2015-12-18,2437.55,2437.55,2403.15,2416.45,320128.0
2015-12-21,2410.0,2448.0,2407.45,2440.95,73056.0
2015-12-22,2441.05,2441.05,2400.5,2405.95,69932.0
2015-12-23,2411.35,2435.0,2410.0,2420.4,48366.0
2015-12-24,2420.0,2435.95,2403.8,2433.35,38392.0
2015-12-28,2422.0,2462.9,2422.0,2458.5,414864.0
2015-12-29,2460.0,2464.5,2445.0,2451.95,48200.0
2015-12-30,2452.0,2457.0,2413.0,2418.4,54808.0
2015-12-31,2420.0,2448.0,2409.0,2439.2,62962.0
2016-01-01,2432.1,2436.35,2412.4,2416.25,64378.0
2016-01-04,2416.1,2416.1,2369.05,2375.5,262498.0
2016-01-05,2383.0,2386.35,2343.55,2350.35,146954.0
2016-01-06,2365.0,2384.5,2352.2,2381.2,90250.0
2016-01-07,2375.0,2379.7,2359.85,2370.05,132686.0
2016-01-08,2380.0,2409.0,2372.95,2397.25,69254.0
2016-01-11,2396.45,2396.45,2349.9,2363.0,65566.0
2016-01-12,2367.95,2367.95,2301.1,2324.05,291138.0
2016-01-13,2317.0,2327.95,2258.0,2280.3,672554.0
2016-01-14,2275.0,2297.5,2252.6,2278.95,244870.0
2016-01-15,2290.0,2291.35,2258.15,2263.5,175192.0
2016-01-18,2270.0,2291.0,2263.0,2282.45,144486.0
2016-01-19,2283.0,2293.0,2267.25,2279.0,54776.0
2016-01-20,2279.0,2282.5,2243.75,2277.6,119194.0
2016-01-21,2280.0,2286.25,2247.0,2261.2,105962.0
2016-01-22,2266.0,2301.0,2260.0,2295.25,298538.0
2016-01-25,2295.15,2338.8,2293.05,2305.95,66944.0
2016-01-27,2303.95,2327.95,2283.7,2319.6,68270.0
2016-01-28,2310.0,2347.0,2310.0,2330.9,70362.0
2016-01-29,2339.0,2398.25,2336.1,2391.2,74230.0
2016-02-01,2392.0,2412.0,2361.05,2402.2,57782.0
2016-02-02,2408.0,2430.5,2380.0,2401.5,76890.0
2016-02-03,2377.0,2422.9,2356.95,2417.05,82094.0
2016-02-04,2420.0,2437.55,2403.2,2417.45,172872.0
2016-02-05,2406.1,2439.95,2406.1,2425.85,47698.0
2016-02-08,2415.0,2415.0,2350.0,2368.5,87642.0
2016-02-09,2331.0,2332.0,2257.0,2281.45,206276.0
2016-02-10,2280.0,2290.0,2258.05,2270.05,141830.0
2016-02-11,2271.1,2285.0,2173.1,2196.05,122050.0
2016-02-12,2198.0,2242.0,2167.95,2226.5,138038.0
2016-02-15,2245.6,2306.5,2226.6,2269.55,1508258.0
2016-02-16,2270.0,2281.0,2244.8,2267.75,53672.0
2016-02-17,2270.7,2281.9,2248.05,2278.0,86912.0
2016-02-18,2280.05,2319.45,2279.0,2315.3,63574.0
2016-02-19,2314.0,2325.3,2307.0,2320.2,37690.0
2016-02-22,2320.5,2343.45,2305.1,2314.2,814442.0
2016-02-23,2316.0,2320.0,2253.9,2265.1,367304.0
2016-02-24,2264.0,2264.0,2205.5,2218.65,94352.0
2016-02-25,2222.0,2238.0,2184.15,2212.25,118910.0
2016-02-26,2238.0,2256.95,2202.6,2214.7,72152.0
2016-02-29,2214.0,2230.0,2119.0,2181.9,286204.0
2016-03-01,2182.5,2284.5,2163.5,2275.0,101882.0
2016-03-02,2291.1,2330.0,2256.05,2319.55,99492.0
2016-03-03,2324.0,2389.5,2301.2,2377.3,151934.0
2016-03-04,2373.0,2377.95,2350.0,2359.05,57200.0
2016-03-08,2345.0,2365.0,2306.0,2354.4,64442.0
2016-03-09,2350.0,2368.85,2298.0,2356.2,86988.0
2016-03-10,2356.0,2356.0,2315.4,2348.0,62364.0
2016-03-11,2348.0,2389.9,2336.9,2366.0,431996.0
2016-03-14,2370.0,2396.9,2340.0,2352.0,55424.0
2016-03-15,2355.0,2356.95,2320.0,2329.65,46922.0
2016-03-16,2323.4,2331.0,2308.2,2327.35,37024.0
2016-03-17,2330.1,2361.65,2330.1,2351.75,73026.0
2016-03-18,2363.0,2435.0,2363.0,2427.25,164462.0
2016-03-21,2430.0,2457.0,2419.85,2443.65,92452.0
2016-03-22,2446.0,2485.0,2435.6,2474.05,88790.0
2016-03-23,2478.0,2485.0,2457.1,2474.7,246460.0
2016-03-28,2485.1,2517.95,2461.2,2473.55,99430.0
2016-03-29,2475.0,2486.4,2450.0,2467.85,59094.0
2016-03-30,2470.0,2503.0,2465.0,2488.35,57840.0
2016-03-31,2488.0,2534.0,2472.5,2516.05,98368.0
2016-04-01,2505.05,2520.95,2435.55,2455.4,136238.0
2016-04-04,2469.0,2487.8,2448.0,2470.7,67740.0
2016-04-05,2472.3,2484.0,2446.75,2462.65,398780.0
2016-04-06,2465.0,2487.5,2460.05,2478.9,74266.0
2016-04-07,2478.9,2483.4,2458.9,2470.95,42450.0
2016-04-08,2465.0,2466.9,2425.2,2428.7,66518.0
2016-04-11,2450.0,2514.45,2412.15,2506.65,109704.0
2016-04-12,2506.65,2519.25,2487.45,2512.5,61282.0
2016-04-13,2525.0,2543.4,2513.05,2523.15,67650.0
2016-04-18,2449.0,2553.15,2449.0,2522.4,452424.0
2016-04-20,2548.0,2548.0,2442.0,2451.9,483590.0
2016-04-21,2462.0,2466.9,2415.0,2423.2,179398.0
2016-04-22,2411.0,2435.0,2404.95,2417.2,139456.0
2016-04-25,2417.0,2454.2,2406.0,2448.3,131934.0
2016-04-26,2435.0,2492.8,2435.0,2488.0,129506.0
2016-04-27,2489.9,2512.0,2477.35,2505.55,89546.0
2016-04-28,2508.0,2536.35,2500.0,2526.95,148142.0
2016-04-29,2520.0,2539.6,2511.1,2530.05,711036.0
2016-05-02,2530.05,2530.05,2500.05,2525.15,45652.0
2016-05-03,2520.0,2530.0,2475.1,2480.25,139044.0
2016-05-04,2471.0,2492.1,2457.95,2478.25,62108.0
